in s,C1 in V
-5.9502444E-01,1.8577576E-03
-5.9501528E-01,1.8730164E-03
-5.9500612E-01,1.8959045E-03
-5.9499696E-01,1.8959045E-03
-5.9498780E-01,1.9264221E-03
-5.9497864E-01,1.9493103E-03
-5.9496948E-01,1.9264221E-03
-5.9496032E-01,1.9035339E-03
-5.9495116E-01,1.8882751E-03
-5.9494200E-01,1.8424988E-03
-5.9493284E-01,1.8577576E-03
-5.9492368E-01,1.8043518E-03
-5.9491452E-01,1.8043518E-03
-5.9490536E-01,1.7814636E-03
-5.9489620E-01,1.8043518E-03
-5.9488704E-01,1.7814636E-03
-5.9487788E-01,1.7967224E-03
-5.9486872E-01,1.8196106E-03
-5.9485956E-01,1.8196106E-03
-5.9485040E-01,1.7890930E-03
-5.9484124E-01,1.7738342E-03
-5.9483208E-01,1.7433167E-03
-5.9482292E-01,1.8043518E-03
-5.9481376E-01,1.7967224E-03
-5.9480460E-01,1.7738342E-03
-5.9479544E-01,1.7585754E-03
-5.9478628E-01,1.7585754E-03
-5.9477712E-01,1.7738342E-03
-5.9476796E-01,1.7662048E-03
-5.9475880E-01,1.7433167E-03
-5.9474964E-01,1.7356873E-03
-5.9474048E-01,1.7127991E-03
-5.9473132E-01,1.7051697E-03
-5.9472216E-01,1.7356873E-03
-5.9471300E-01,1.6975403E-03
-5.9470384E-01,1.7127991E-03
-5.9469468E-01,1.6899109E-03
-5.9468552E-01,1.7127991E-03
-5.9467636E-01,1.7051697E-03
-5.9466720E-01,1.6822815E-03
-5.9465804E-01,1.6593933E-03
-5.9464888E-01,1.6670227E-03
-5.9463972E-01,1.6899109E-03
-5.9463056E-01,1.6670227E-03
-5.9462140E-01,1.6517639E-03
-5.9461224E-01,1.6136169E-03
-5.9460308E-01,1.5830994E-03
-5.9459392E-01,1.5602112E-03
-5.9458476E-01,1.5830994E-03
-5.9457560E-01,1.6059875E-03
-5.9456644E-01,1.5754700E-03
-5.9455728E-01,1.6059875E-03
-5.9454812E-01,1.5068054E-03
-5.9453896E-01,1.5602112E-03
-5.9452980E-01,1.5907288E-03
-5.9452064E-01,1.5525818E-03
-5.9451148E-01,1.5296936E-03
-5.9450232E-01,1.5144348E-03
-5.9449316E-01,1.5220642E-03
-5.9448400E-01,1.4915466E-03
-5.9447484E-01,1.4686584E-03
-5.9446568E-01,1.4839172E-03
-5.9445652E-01,1.4991760E-03
-5.9444736E-01,1.4839172E-03
-5.9443820E-01,1.4457703E-03
-5.9442904E-01,1.4533997E-03
-5.9441988E-01,1.4076233E-03
-5.9441072E-01,1.4076233E-03
-5.9440156E-01,1.4381409E-03
-5.9439240E-01,1.4305115E-03
-5.9438324E-01,1.4228821E-03
-5.9437408E-01,1.4610291E-03
-5.9436492E-01,1.4610291E-03
-5.9435576E-01,1.3999939E-03
-5.9434660E-01,1.4152527E-03
-5.9433744E-01,1.4152527E-03
-5.9432828E-01,1.3999939E-03
-5.9431912E-01,1.4152527E-03
-5.9430996E-01,1.4228821E-03
-5.9430080E-01,1.3542175E-03
-5.9429164E-01,1.3771057E-03
-5.9428248E-01,1.3771057E-03
-5.9427332E-01,1.3694763E-03
-5.9426416E-01,1.3389587E-03
-5.9425500E-01,1.3313293E-03
-5.9424584E-01,1.3313293E-03
-5.9423668E-01,1.3389587E-03
-5.9422752E-01,1.3008118E-03
-5.9421836E-01,1.3008118E-03
-5.9420920E-01,1.3237000E-03
-5.9420004E-01,1.3160706E-03
-5.9419088E-01,1.3237000E-03
-5.9418172E-01,1.3008118E-03
-5.9417256E-01,1.3008118E-03
-5.9416340E-01,1.2779236E-03
-5.9415424E-01,1.2702942E-03
-5.9414508E-01,1.2779236E-03
-5.9413592E-01,1.2626648E-03
-5.9412676E-01,1.2855530E-03
-5.9411760E-01,1.2855530E-03
-5.9410844E-01,1.2702942E-03
-5.9409928E-01,1.2779236E-03
-5.9409012E-01,1.2168884E-03
-5.9408096E-01,1.2321472E-03
-5.9407180E-01,1.2397766E-03
-5.9406264E-01,1.2245178E-03
-5.9405348E-01,1.2702942E-03
-5.9404432E-01,1.2702942E-03
-5.9403516E-01,1.2702942E-03
-5.9402600E-01,1.2931824E-03
-5.9401684E-01,1.2626648E-03
-5.9400768E-01,1.2626648E-03
-5.9399852E-01,1.2702942E-03
-5.9398936E-01,1.2550354E-03
-5.9398020E-01,1.2245178E-03
-5.9397104E-01,1.1863708E-03
-5.9396188E-01,1.2168884E-03
-5.9395272E-01,1.2016296E-03
-5.9394356E-01,1.2245178E-03
-5.9393440E-01,1.1787415E-03
-5.9392524E-01,1.2321472E-03
-5.9391608E-01,1.2321472E-03
-5.9390692E-01,1.2321472E-03
-5.9389776E-01,1.2016296E-03
-5.9388860E-01,1.1940002E-03
-5.9387944E-01,1.1634827E-03
-5.9387028E-01,1.1405945E-03
-5.9386112E-01,1.1940002E-03
-5.9385196E-01,1.2016296E-03
-5.9384280E-01,1.2168884E-03
-5.9383364E-01,1.1863708E-03
-5.9382448E-01,1.1863708E-03
-5.9381532E-01,1.1940002E-03
-5.9380616E-01,1.1558533E-03
-5.9379700E-01,1.1634827E-03
-5.9378784E-01,1.1863708E-03
-5.9377868E-01,1.2016296E-03
-5.9376952E-01,1.1863708E-03
-5.9376036E-01,1.1940002E-03
-5.9375120E-01,1.1405945E-03
-5.9374204E-01,1.1100769E-03
-5.9373288E-01,1.1253357E-03
-5.9372372E-01,1.1329651E-03
-5.9371456E-01,1.1100769E-03
-5.9370540E-01,1.1329651E-03
-5.9369624E-01,1.0566711E-03
-5.9368708E-01,1.1253357E-03
-5.9367792E-01,1.0795593E-03
-5.9366876E-01,1.1024475E-03
-5.9365960E-01,1.1024475E-03
-5.9365044E-01,1.0643005E-03
-5.9364128E-01,1.0414124E-03
-5.9363212E-01,1.0566711E-03
-5.9362296E-01,1.0337830E-03
-5.9361380E-01,9.9563599E-04
-5.9360464E-01,1.0032654E-03
-5.9359548E-01,1.0185242E-03
-5.9358632E-01,1.0185242E-03
-5.9357716E-01,9.8800659E-04
-5.9356800E-01,1.0108948E-03
-5.9355884E-01,1.0108948E-03
-5.9354968E-01,1.0108948E-03
-5.9354052E-01,9.8800659E-04
-5.9353136E-01,1.0032654E-03
-5.9352220E-01,1.0108948E-03
-5.9351304E-01,1.0337830E-03
-5.9350388E-01,1.0566711E-03
-5.9349472E-01,1.0108948E-03
-5.9348556E-01,1.0108948E-03
-5.9347640E-01,9.4985962E-04
-5.9346724E-01,9.8037720E-04
-5.9345808E-01,1.0108948E-03
-5.9344892E-01,9.8037720E-04
-5.9343976E-01,9.6511841E-04
-5.9343060E-01,9.7274780E-04
-5.9342144E-01,9.3460083E-04
-5.9341228E-01,9.2697144E-04
-5.9340312E-01,9.6511841E-04
-5.9339396E-01,9.3460083E-04
-5.9338480E-01,9.2697144E-04
-5.9337564E-01,8.9645386E-04
-5.9336648E-01,9.2697144E-04
-5.9335732E-01,9.3460083E-04
-5.9334816E-01,9.3460083E-04
-5.9333900E-01,9.0408325E-04
-5.9332984E-01,8.5067749E-04
-5.9332068E-01,8.5830688E-04
-5.9331152E-01,8.2778931E-04
-5.9330236E-01,8.4304810E-04
-5.9329320E-01,8.8882446E-04
-5.9328404E-01,8.8119507E-04
