Freq,V(filterout)_mag_dB,V(filterout)_phase_deg,V(vin)_mag_dB,V(vin)_phase_deg
3.62038671967517e+03,1.24736410994861e+00,-1.34299780278170e+01,-1.21960433077734e+01,8.89863354100992e-02
3.74805938162085e+03,1.24697730105984e+00,-1.39099879246845e+01,-1.21960425919579e+01,8.59551389215204e-02
3.88023441026667e+03,1.24656244384116e+00,-1.44067407462696e+01,-1.21960419240782e+01,8.30271956419580e-02
4.01707058123142e+03,1.24611750411553e+00,-1.49208368859871e+01,-1.21960413009244e+01,8.01989884345869e-02
4.15873226934398e+03,1.24564029714545e+00,-1.54528979720892e+01,-1.21960407195013e+01,7.74671199645797e-02
4.30538964609908e+03,1.24512847624495e+00,-1.60035676581282e+01,-1.21960401770142e+01,7.48283086186643e-02
4.45721888407621e+03,1.24457952048194e+00,-1.65735124447845e+01,-1.21960396708558e+01,7.22793845636323e-02
4.61440236856751e+03,1.24399072139193e+00,-1.71634225343451e+01,-1.21960391985933e+01,6.98172859390678e-02
4.77712891666852e+03,1.24335916861703e+00,-1.77740127195526e+01,-1.21960387579567e+01,6.74390551797298e-02
4.94559400409528e+03,1.24268173437473e+00,-1.84060233084253e+01,-1.21960383468282e+01,6.51418354631753e-02
5.12000000000007e+03,1.24195505665284e+00,-1.90602210870251e+01,-1.21960379632318e+01,6.29228672783593e-02
5.30055641006792e+03,1.24117552101680e+00,-1.97374003219996e+01,-1.21960376053236e+01,6.07794851110943e-02
5.48748012818590e+03,1.24033924090047e+00,-2.04383838048820e+01,-1.21960372713834e+01,5.87091142423917e-02
5.68099569698745e+03,1.23944203624340e+00,-2.11640239406085e+01,-1.21960369598061e+01,5.67092676558415e-02
5.88133557758490e+03,1.23847941031949e+00,-2.19152038822909e+01,-1.21960366690943e+01,5.47775430503180e-02
6.08874042881402e+03,1.23744652458648e+00,-2.26928387151707e+01,-1.21960363978505e+01,5.29116199544272e-02
6.30345939632606e+03,1.23633817136843e+00,-2.34978766920414e+01,-1.21960361447711e+01,5.11092569392300e-02
6.52575041187471e+03,1.23514874416122e+00,-2.43313005234380e+01,-1.21960359086397e+01,4.93682889258964e-02
6.75588050315731e+03,1.23387220533035e+00,-2.51941287254647e+01,-1.21960356883212e+01,4.76866245850577e-02
6.99412611458260e+03,1.23250205094177e+00,-2.60874170287876e+01,-1.21960354827568e+01,4.60622438247354e-02
7.24077343935035e+03,1.23103127244060e+00,-2.70122598523430e+01,-1.21960352909585e+01,4.44931953638289e-02
7.49611876324171e+03,1.22945231485724e+00,-2.79697918457248e+01,-1.21960351120043e+01,4.29775943882508e-02
7.76046882053335e+03,1.22775703118537e+00,-2.89611895044696e+01,-1.21960349450341e+01,4.15136202868941e-02
8.03414116246284e+03,1.22593663253438e+00,-2.99876728627704e+01,-1.21960347892454e+01,4.00995144647120e-02
8.31746453868797e+03,1.22398163361173e+00,-3.10505072685825e+01,-1.21960346438894e+01,3.87335782302870e-02
8.61077929219816e+03,1.22188179303881e+00,-3.21510052464526e+01,-1.21960345082674e+01,3.74141707553496e-02
8.91443776815244e+03,1.21962604794140e+00,-3.32905284538331e+01,-1.21960343817277e+01,3.61397071037983e-02
9.22880473713504e+03,1.21720244219267e+00,-3.44704897371415e+01,-1.21960342636619e+01,3.49086563278532e-02
